Author,Quote,Topic,Tags
A,"A lot of mothers will do anything for their children, except let them be themselves.",,
B,A lot of my generation are living out the un-lived lives of our mothers.,,
C,A lot of our perception of history is influenced by inaccurate movies.,,
D,"A lot of our writers, like Conan O'Brien, moved on to other things",,
E,"A lot of parents tell their children that if they want to be an actor, that's fine, but they should do something else first, so they've got something to fall back on. It doesn't work like that, as far as I'm concerned.",,
F,A lot of people are afraid to say what they want. That's why they don't get what they want.,,
A,A lot of people are lonely. A lot of people are lonely even when they're surrounded by other people.,,
B,A lot of people are waiting for Martin Luther King or Mahatma Gandhi to come back-but they are gone. We are it. It is up to us. It is up to you.,,
C,"A lot of people ask me if I were shipwrecked, and could have only one book, what would it be? I always say, "" How to Build a Boat.",,
D,A lot of people don't have families.. But they still have homes.,,
E,A lot of people don't have much food on their table. But they got a lot of forks 'n knives. And they got to cut somethin'.,,
F,A lot of people get so hung up on what they can't have that they don't think for a second about whether they really want it.,,
A,"A lot of people get the wrong impression, think there's something romantic or tragic about hitting bottom.",,
B,A lot of people have gone further than they thought they could because someone else thought they could,,
C,"A lot of people have opinions, but I don't think they ever ask themselves why their opinions are what they are.",,
D,A lot of people insisted on a wall between modern dance and ballet. I'm beginning to think that walls are very unhealthy things. ,,
E,A lot of people like snow. I find it to be an unnecessary freezing of water.,,
F,"A lot of people like to do certain things, but they're notthat good at it. Keep going through the things that you liketo do, until you find something that you actually seem to beextremely good at. It can be anything.",,
A,A lot of people like wife swapping. I've got such a great wife I would only swap with a Mormon. It'd have to be a two-for-one deal.,,
B,A lot of people measure a man by what he's got. I've decided to measure myself by what I can give up.,,
C,A lot of people never use their initiative because no-one told them to.,,
D,"A lot of people refuse to do things because they don't want to go naked, don't want to go without guarantee. But that's what's got to happen. You go naked until you die",,
A,"A lot of people say there's a fine line between genius and insanity. I don't think there's a fine line, I actually think there's a yawning gulf. You see some poor bugger scuffling up the road with balloons tied to his ears, he's not going home to invent a rocket, is he?",,
B,A lot of people seem nice when you first meet them. Then later you find out that they are evil villains who plan to take over the world.,,
C,A lot of people spend their time just floating/ We were victims together but lonely.,,
D,A lot of people think I chose these children because they have problems. That's not true. I chose these children because they touched my heart.,,
E,"A lot of people think something is right, and so that thing becomes right.",,
F,"A lot of people want a shortcut. I find the best shortcut is the long way, which is basically two words: work hard.",,
A,A lot of people were opposed to it. A lot of people were for it. I myself think about it as little as possible.,,
B,A lot of people were wounded in our kitchen and in the week of a car less than a mile away. And the life I had before- the one I had hated so much- was in the past.,,
C,"A lot of people who find out about the things I do immediately figure I'm just a pathetic ""druggie"" with nothing to say that is worth hearing. They talk endless bull shit of ""recovery!"" They make it sound like some amazing discovery...don't they know I'm far too busy trying to recover me?",,
D,A lot of people... use a calculator!,,
E,A lot of professionals are crackpots.,,
F,"A lot of really big trees had died to make that desk. His mother had probably gnawed them down, used her nails to saw the boards, and finished the decorative cutwork with her tongue.",,
A,"A lot of religions are ' Social Clubs' with strange rules, expensive entertainment, cheap wine and stale crackers.",,
B,A lot of shelter dogs are mutts like me.,,
C,"A lot of smart young people have come out of Indiana. The smarter they are, the faster they come out",,
D,A lot of the conflict you have in your life exists simply because you're not living in alignment; you're not be being true to yourself.,,
E,A lot of things some might think are a little crazy are just human.,,
F,A lot of truths about the living world are recorded in bad books; they are just badly written about.,,
A,"A lot of us are working harder than we want, at things we don't like to do. Why? In order to afford the sort of existence we don't care to live.",,
B,A lot of what passes for depression these days is nothing more than a body saying that it needs work.,,
C,A lot of what we experience as strength comes from knowing what to do with weakness.,,
D,A lot of what we're doing here deals with perception rather than truth. Many would argue that reality depends more on the former than the latter.,,
A,"A lot of you cared, just not enough.",,
B,"A lot of young girls think that the opposite of fake is rudeness. And just as ugly as fake is, so is saying whatever is on your mind because it's the truth.",,
C,"A lot will be lost that way, of course. But you can't make people listen. They have to come round in their own time, wondering what happened and why the world blew up under them.",,
D,"A loud booming noise interrupted us, and we saw a flash of light off to my right. People near the other garages screamed."" There, you see?"" asked Abe, quite pleased with himself. "" A new gate. Perfect timing.",,
E,A Loud Laugh Bespeaks a Vacant Mind!,,
F,A louse in the locks of literature.,,
A,"A love affair is a grafting operation. "" What has once been joined never forgets"". There is a moment when the graft takes; up to then it is possible without difficulty the separation which afterwards comes only through breaking off a great hunk of oneself; the ingrown fibre of hours, days, years.",,
B,"A love for tradition has never weakened a nation, indeed it has strengthened nations in their hour of peril. ",,
C,"A love gone bad, a sea of bitterness: such an everyday thing. As ordinary as the tide, and perhaps as relentless. But tides turned, too.",,
D,A love life without worries is no love life at all.,,
E,A love like mine is rare. So is the steak I just sent back to the kitchen. But you'd damn well better not send my love back.,,
F,"A love like that was a serious illness, an illness from which you never entirely recover.",,
A,A Love like this happens but once in a lifetime,,
B,A love of nature keeps no factories busy.,,
C,"A love that asks for nothing and gives nothing in return; it is simply there. I will never be yours and you will never be mine; nevertheless, I can honestly say: I love you.",,
D,"A love that does not discriminate seems to me to forfeit a part of its own value, by doing an injustice to its object; and secondly, not all men are worthy of love.",,
E,A love that weathers the storm of strife should be cherished as the most valuable treasure in life.,,
F,A lovely evening of new idioms and fresh mozzarella.,,
A,A man cannot be comfortable without his own approval.,,
B,"A lover goes toward his beloved as enthusiastically as a schoolboy leaving his books, but when he leaves his girlfriend, he feels as miserable as the schoolboy on his way to school. ( Act 2, scene 2)",,
C,A lover without indiscretion is no lover at all.,,
D,"A lover's a liar, To himself he lies, The truthful are loveless, Like oysters their eyes!",,
A,A loving heart is the beginning of all knowledge.,,
B,A loving heart is the truest wisdom.,,
C,A loving person lives in a loving world. A hostile person lives in a hostile world.,,
D,A loving person lives in a loving world. A hostile person lives in a hostile world: everyone you meet is your mirror.,,
E,"A loving relationship is one in which the loved one is free to be himself -- to laugh with me, but never at me; to cry with me, but never because of me; to love life, to love himself, to love being loved. Such a relationship is based upon freedom and can never grow in a jealous heart",,
F,"A loving soul was always more beautiful over the long haul, but actual prettiness was fleeting.",,
A,"A low growl erupted in his chest, suprising him as much as what came out of his mouth."" You're mine. Trust me, I want to fuck you ten ways from Sunday.""~Chance",,
B,"A low thrum in his gut. Love. What is the measure of such a thing? Love, or the word love, is like an elusive jungle bird that because it is so durable has thousands of mimics and camouflaged neighbors.",,
C,A lumbering soul but trying to fly...,,
D,A lunatic is just a minority of one.,,
E,A mad person sees what isn't there; A visionary sees what isn't there yet,,
F,A madman is not someone who has lost his reason but someone who has lost everything but his reason,,
A,"A madman's ravings are absurd in relation to the situation in which he finds himself, but not in relation to his madness.",,
B,"A mafia don could snap his fingers and somebody would snap my neck. But when I snap my fingers, people start dancing. Or at least my clones would.",,
C,A mage's soul is forged in the crucible of the magic,,
D,A magician is strong because he feels pain. He feels the difference between what the world is and what he would make of it.,,
E,A magician is strong because he feels pain. He feels the difference between what the world is and what he would make of it. Or what did you think that stuff in your chest was? A magician is strong because he hurts more than others. His wound is his strength. ,,
